region,period,model,SSP,Report,scenario,unit,Emission reduction,Mitigation cost
OECD,2040,REMIND,Yes,SR15,SSP1-19,None,89.46132703,-0.011625842
OECD,2040,REMIND,Yes,SR15,SSP1-26,None,81.19977251,-0.003263089
OECD,2040,REMIND,Yes,SR15,SSP1-34,None,101.4421568,-0.001719094
OECD,2040,REMIND,Yes,SR15,SSP2-19,None,101.9652069,-0.022851859
OECD,2040,REMIND,Yes,SR15,SSP2-26,None,89.62224819,-0.007106015
OECD,2040,REMIND,Yes,SR15,SSP2-34,None,93.45906559,-0.004420172
OECD,2040,REMIND,Yes,SR15,SSP5-19,None,95.95705449,-0.019211453
OECD,2040,REMIND,Yes,SR15,SSP5-26,None,88.47889635,-0.007582983
OECD,2040,REMIND,Yes,SR15,SSP5-34,None,84.59388805,-0.004885329
OECD,2040,TIAM,No,AR5,EMF27-450-FullTech,None,103.0102536,-0.003834894
OECD,2040,TIAM,No,AR5,EMF27-550-FullTech,None,97.03722052,-0.002360716
OECD,2040,TIAM,No,AR5,LIMITS-450,None,103.304783,-0.010436699
OECD,2040,TIAM,No,AR5,LIMITS-500,None,100.6278964,-0.005479491
OECD,2040,WITCH,No,AR5,AMPERE2-450-FullTech-OPT,None,105.2782581,-0.01551107
OECD,2040,WITCH,No,AR5,EMF27-450-FullTech,None,104.1294785,-0.0132908
OECD,2040,WITCH,No,AR5,EMF27-550-FullTech,None,103.9075869,-0.007772671
OECD,2040,WITCH,No,AR5,LIMITS-450,None,105.5000114,-0.027673055
OECD,2040,WITCH,No,AR5,LIMITS-500,None,103.6564693,-0.018276156
OECD,2040,WITCH,No,AR5,ROSE 450 DEF,None,101.1461727,-0.012469171
OECD,2040,WITCH,No,AR5,ROSE 550 DEF,None,96.13033898,-0.005900238
OECD,2040,WITCH,No,SR15,ADVANCE_2020_1.5C-2100,None,99.04963963,-0.050663562
OECD,2040,WITCH,No,SR15,ADVANCE_2020_WB2C,None,94.75826439,-0.029515048
OECD,2040,WITCH,No,SR15,CD-LINKS_NPi2020_1000,None,102.3371836,-0.033556735
OECD,2040,WITCH,No,SR15,CD-LINKS_NPi2020_1600,None,101.5537645,-0.021232121
OECD,2040,WITCH,No,SR15,SSP1-19,None,101.1335561,NA
OECD,2040,WITCH,No,SR15,SSP1-26,None,84.69106709,NA
OECD,2040,WITCH,No,SR15,SSP1-34,None,80.70435946,NA
OECD,2040,WITCH,No,SR15,SSP2-26,None,87.76598777,NA
OECD,2040,WITCH,No,SR15,SSP2-34,None,80.95097831,NA
OECD,2040,WITCH,No,SR15,SSP5-34,None,86.01139764,NA
Asia,2040,AIM,Yes,SR15,ADVANCE_2020_1.5C-2100,None,104.0846565,0.018696382
Asia,2040,AIM,Yes,SR15,ADVANCE_2020_WB2C,None,106.5561207,0.016471662
Asia,2040,AIM,Yes,SR15,CD-LINKS_NPi2020_1000,None,112.4444534,0.017128803
Asia,2040,AIM,Yes,SR15,CD-LINKS_NPi2020_1600,None,123.3208716,0.012829621
Asia,2040,AIM,Yes,SR15,EMF33_WB2C_full,None,108.8019201,0.013784188
Asia,2040,AIM,Yes,SR15,SSP1-19,None,107.3159365,NA
Asia,2040,AIM,Yes,SR15,SSP1-26,None,113.4351528,NA
Asia,2040,AIM,Yes,SR15,SSP1-34,None,116.8536397,NA
Asia,2040,AIM,Yes,SR15,SSP2-19,None,103.5128918,NA
Asia,2040,AIM,Yes,SR15,SSP2-26,None,105.5785679,NA
Asia,2040,AIM,Yes,SR15,SSP2-34,None,106.1734052,NA
Asia,2040,AIM,Yes,SR15,SSP5-26,None,103.3273699,NA
Asia,2040,AIM,Yes,SR15,SSP5-34,None,105.6822838,NA
Asia,2040,BET,No,AR5,EMF27-450-FullTech,None,103.2617863,0.025040971
Asia,2040,BET,No,AR5,EMF27-550-FullTech,None,102.4569184,0.013831739
Asia,2040,GCAM,Yes,AR5,AMPERE2-450-FullTech-OPT,None,112.4129834,NA
Asia,2040,GCAM,Yes,AR5,EMF27-450-FullTech,None,114.1181479,0.005288419
Asia,2040,GCAM,Yes,AR5,EMF27-550-FullTech,None,114.5553064,0.004614922
Asia,2040,GCAM,Yes,AR5,LIMITS-450,None,113.2982027,0.006093403
Asia,2040,GCAM,Yes,AR5,LIMITS-500,None,114.5380768,0.003868326
Asia,2040,GCAM,Yes,AR5,ROSE 450 DEF,None,110.3710636,NA
Asia,2040,GCAM,Yes,AR5,ROSE 550 DEF,None,111.7869822,NA
Asia,2040,GCAM,Yes,SR15,SSP1-19,None,110.058027,NA
Asia,2040,GCAM,Yes,SR15,SSP1-26,None,107.9949278,NA
Asia,2040,GCAM,Yes,SR15,SSP1-34,None,104.2210938,NA
Asia,2040,GCAM,Yes,SR15,SSP2-19,None,104.2894053,NA
Asia,2040,GCAM,Yes,SR15,SSP2-26,None,108.6239496,NA
Asia,2040,GCAM,Yes,SR15,SSP2-34,None,98.02375728,NA
Asia,2040,GCAM,Yes,SR15,SSP5-19,None,102.9691883,NA
Asia,2040,GCAM,Yes,SR15,SSP5-26,None,108.0103019,NA
Asia,2040,GCAM,Yes,SR15,SSP5-34,None,102.6698617,NA
Asia,2040,GRAPE,No,AR5,EMF27-550-FullTech,None,104.2826016,0.001446679
Asia,2040,IMAGE,Yes,AR5,AMPERE2-450-FullTech-OPT,None,103.4615903,0.003511724
Asia,2040,IMAGE,Yes,AR5,EMF27-450-FullTech,None,100.1824988,0.004953004
Asia,2040,IMAGE,Yes,AR5,EMF27-550-FullTech,None,101.641805,0.001991586
Asia,2040,IMAGE,Yes,AR5,LIMITS-450,None,100.1900896,0.005294394
Asia,2040,IMAGE,Yes,AR5,LIMITS-500,None,101.3369872,0.001909304
Asia,2040,IMAGE,Yes,SR15,ADVANCE_2020_1.5C-2100,None,101.7389224,0.015695527
Asia,2040,IMAGE,Yes,SR15,ADVANCE_2020_WB2C,None,103.3684648,0.006770742
